Main Statistics

T;HLO;F1stLO;F2ndLO;S1stLO;S2ndLO;HSUI;F2ndSUI;F3rdSUI;S2ndSUI;S3rdSUI;SB2ndSUI
1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0

ComputerFirm MOD
FIRM;1;2;3;4;5;6;
T;NONE;NONE;NONE;NONE;NONE;NONE;
1;0.0;0.0;0.0;0.0;0.0;0.0;
2;0.0;0.0;0.0;0.0;0.0;0.0;

ComputerFirm SHARE 
FIRM;1;2;3;4;5;6;
T;NONE;NONE;NONE;NONE;NONE;NONE;
1;0.0;0.0;0.0;0.0;0.0;0.0;
2;0.0;0.0;0.0;0.0;0.0;0.0;

ComputerFirms Cheapness 
FIRM;1;2;3;4;5;6;
T;NONE;NONE;NONE;NONE;NONE;NONE;
1;0.0;0.0;0.0;0.0;0.0;0.0;
2;34.85037245189753;45.55452304220785;9.882730051349686;35.56215547015176;49.563015819435805;59.70744758019488;

ComputerFirms Performance 
FIRM;1;2;3;4;5;6;
T;NONE;NONE;NONE;NONE;NONE;NONE;
1;0.0;0.0;0.0;0.0;0.0;0.0;
2;155.25578169949952;94.74157646431928;237.42933762531163;134.16369911034866;56.09378339166099;23.68470068231152;
