H,H_avg_TC,prod_inno,prod_imi,alive_firms_with_prod,TC_viewed,price_inno,price_imi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1431577334406967E-4,9.999999999999998E-4,0.01,0.0,0.01,0.01,0.003,0.0
7.387206158576397E-5,0.0010000000000000002,0.018,0.0,0.016,0.018,0.003,0.0
5.184404026605198E-5,9.967995471028771E-4,0.031,0.0,0.024,0.03,0.002963860749876829,0.0
4.306037019503988E-5,9.846198183673183E-4,0.038,0.0,0.028,0.036,0.00292932176454154,0.0
4.097131933590383E-5,9.862642416793123E-4,0.045,0.0,0.031,0.043,0.0029111897082801457,0.0
3.9466386509479686E-5,9.86553305142344E-4,0.048,0.0,0.032,0.046,0.002902525660384589,0.0
3.567863500369902E-5,9.777376175933725E-4,0.055,0.0,0.036,0.051,0.0028625895772967573,0.0
3.444344317317299E-5,9.79006654464298E-4,0.056,0.0,0.036,0.053,0.0028667046815130373,0.0
3.3882617563230804E-5,9.799001159816881E-4,0.059,0.0,0.037,0.056,0.002865653484694508,0.0
3.363215885351854E-5,9.707900400264503E-4,0.06,0.0,0.037,0.056,0.002838888885875649,0.0
3.223883785589936E-5,9.725914691340054E-4,0.064,0.0,0.039,0.06,0.002835239225708477,0.0
3.274154400209228E-5,9.60016619514065E-4,0.067,0.0,0.039,0.061,0.0027937064725003543,0.0
3.308726689538457E-5,9.539302003123227E-4,0.07,0.0,0.039,0.062,0.0027439757308045563,0.0
3.4144429022498E-5,9.499092378775378E-4,0.076,0.0,0.039,0.066,0.0027043814636369162,0.0
3.475545997974015E-5,9.423585402484817E-4,0.081,0.0,0.039,0.069,0.0026562050443794086,0.0
3.615439528771988E-5,9.38010303873808E-4,0.085,0.0,0.039,0.071,0.002617640201302806,0.0
3.519742738726534E-5,9.468934567074955E-4,0.088,0.0,0.038,0.076,0.002642607045687839,0.0
3.646551429332396E-5,8.483116138037191E-4,0.089,0.138,0.044,0.077,0.002553305214707793,0.0018900114721501532
3.980369633009343E-5,7.751768788714212E-4,0.093,0.142,0.037,0.082,0.002490956564717176,0.0016475402727788564
4.065986668588869E-5,7.099770621046376E-4,0.096,0.193,0.034,0.087,0.002408718487836301,0.001445276480582195
4.2094016523877326E-5,6.886884335415571E-4,0.099,0.221,0.033,0.091,0.0023324451815552386,0.001297046647794343
4.310871223950729E-5,6.634655875555239E-4,0.1,0.223,0.033,0.094,0.0022632200826980635,0.001230944806679848
4.322070030046214E-5,6.354341495764393E-4,0.103,0.253,0.031,0.097,0.0021828688719745175,0.0012115176083343083
4.3716685762726125E-5,6.127784741685312E-4,0.105,0.273,0.031,0.099,0.00213101814108514,0.0011933050013875914
4.5456763009249776E-5,5.768705905044737E-4,0.107,0.314,0.03,0.1,0.0020539962916784273,0.0011890720677654111
